BHI;Bahía Blanca;Aeropuerto Comandante Espora
BRC;Bariloche;Aeropuerto Internacional Teniente Luis Candelaria
AEP;Buenos Aires/Aeroparque;Aeroparque Jorge Newbery
CRD;Comodoro Rivadavia;Aeropuerto Internacional General Enrique Mosconi
COR;Córdoba;Aeropuerto Internacional Ingeniero Ambrosio Taravella
CRR;Corrientes;Aeropuerto Internacional Doctor Fernando Piragine Niveyro
FTE;El Calafate;Aeropuerto Comandante Armando Tola
EQS;Esquel;Aeropuerto Brigadier Grl Antonio Parodi
EZE;Buenos Aires/Ezeiza;Aeropuerto Internacional Ministro Pistarini
FMA;Formosa;Aeropuerto Internacional de Formosa
GPO;General Pico;Aeropuerto de General Pico
GNR;General Roca;Aeropuerto de General Roca
LPG;La Plata;Aeropuerto de La Plata
IRJ;La Rioja;Aeropuerto Capitán Vicente Almandos Almonacid
MDQ;Mar del Plata;Aeropuerto Internacional Astor Piazolla
MDZ;Mendoza;Aeropuerto Internacional El Plumerillo
NQN;Neuquén;Aeropuerto Internacional Presidente Perón
PAR;Paraná;Aeropuerto General Justo José de Urquiza
JUJ;Jujuy;Aeropuerto Internacional Gobernador Horacio Guzmán
PSS;Posadas;Aeropuerto Internacional Libertador General José de San Martín
IGR;Puerto Iguazú;Aeropuerto Internacional de Puerto Iguazú
PMY;Puerto Madryn;Aeropuerto El Tehuelche
RES;Resistencia;Aeropuerto Internacional de Resistencia
RCU;Río Cuarto;Aeropuerto de Río Cuarto
RGL;Río Gallegos;Aeropuerto Internacional Piloto Civil Norberto Fernández
RGA;Río Grande;Aeropuerto Internacional Gob. Ramón Trejo Noel
ROS;Rosario;Aeropuerto Internacional Rosario Islas Malvinas
SLA;Salta;Aeropuerto Internacional Martín Miguel de Güemeso
CTC;Catamarca;aeropuerto Coronel Felipe Varela
UAQ;San Juan;Aeropuerto Domingo Faustino Sarmiento
LUQ;San Luis;Aeropuerto Brigadier Mayor Cesar Raúl Ojeda
AFA;San Rafael;Aeropuerto Internacional Suboficial Ayudante Santiago Germano
TUC;Tucumán;Aeropuerto Internacional Teniente Benjamín Matienzo
RSA;Santa Rosa ;Aeropuerto de Santa Rosa
SDE;Santiago del Estero;Aeropuerto Vicecomodoro Ángel de la Paz Aragonés
REL;Trelew ;Aeropuerto Almirante M_Andrés Zar
USH;Ushuaia;Aeropuerto Internacional Malvinas Argentinas
VDM;Viedma;Aeropuerto Gobernador Edgardo Castello
CPC;San Martín de los Andes;Aeropuerto Chapelco
